Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Year-Range,Normalized Title
This Poison Heart,"Bayron, Kalynn",,,,Florida,Clay County School District,2023-2024,this poison heart
Serafina and the Black Cloak,"Beatty, Robert",,,,Florida,Clay County School District,2023-2024,serafina and the black cloak
"Sofia Valdez, Future Prez","Beaty, Andrea",,"Roberts, David",,Florida,Clay County School District,2023-2024,"sofia valdez, future prez"
Jaws,"Benchley, Peter",,,,Florida,Clay County School District,2023-2024,jaws
Dumbness is a Dish Best Served Cold,"Benton, Jim",,,,Florida,Clay County School District,2023-2024,dumbness is a dish best served cold
A Girl Like That,"Bhathena, Tanaz",,,,Florida,Clay County School District,2023-2024,a girl like that
Boy2Girl,"Blacker, Terence",,,,Florida,Clay County School District,2023-2024,boy2girl
Girl Made of Stars,"Blake, Ashley Herring",,,,Florida,Clay County School District,2023-2024,girl made of stars
La carta de Ivy Aberdeen al mundo/Ivy Aberdeen's Letter to the World,"Blake, Ashley Herring",,,"Rojas, María Celina",Florida,Clay County School District,2023-2024,la carta de ivy aberdeen al mundo/ivy aberdeen's letter to the world
The Mighty Heart of Sunny St. James,"Blake, Ashley Herring",,,,Florida,Clay County School District,2023-2024,the mighty heart of sunny st. james
Two Dark Reigns,"Blake, Kendare",,,,Florida,Clay County School District,2023-2024,two dark reigns
"Then Again, Maybe I Won't","Blume, Judy",,,,Florida,Clay County School District,2023-2024,"then again, maybe i won't"
Let Me Play: The Story of Title IX: The Law That Changed the Future of Girls in America,"Blumenthal, Karen",,,,Florida,Clay County School District,2023-2024,let me play: the story of title ix: the law that changed the future of girls in america
Insignificant Events In The Life Of A Cactus,"Bowling, Dusti",,,,Florida,Clay County School District,2023-2024,insignificant events in the life of a cactus
The Benefits of Being an Octopus,"Braden, Ann",,,,Florida,Clay County School District,2023-2024,the benefits of being an octopus
As Old as Time: A Twisted Tail,"Braswell, Liz",,,,Florida,Clay County School District,2023-2024,as old as time: a twisted tail
Lair of Dreams,"Bray, Libba",,,,Florida,Clay County School District,2023-2024,lair of dreams
World War Z: An Oral History of the Zombie War,"Brooks, Max",,,,Florida,Clay County School District,2023-2024,world war z: an oral history of the zombie war
Anya's Ghost,"Brosgol, Vera",,,,Florida,Clay County School District,2023-2024,anya's ghost
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,"Brown, Echo",,,,Florida,Clay County School District,2023-2024,black girl unlimited: the remarkable story of a teenage wizard
The Meaning of Birds,"Brown, Jaye Robin",,,,Florida,Clay County School District,2023-2024,the meaning of birds
Arthur's Birthday,"Brown, Marc",,,,Florida,Clay County School District,2023-2024,arthur's birthday
Red Rising,"Brown, Pierce",,,,Florida,Clay County School District,2023-2024,red rising
Two Roads,"Bruchac, Joseph",,,,Florida,Clay County School District,2023-2024,two roads
A Bad Kitty Christmas,"Bruel, Nick",,,,Florida,Clay County School District,2023-2024,a bad kitty christmas
Beyond the Break,"Buchta, Heather",,,,Florida,Clay County School District,2023-2024,beyond the break
Clockwork Orange,"Burgess, Anthony",,,,Florida,Clay County School District,2023-2024,clockwork orange
Smack,"Burgess, Melvin",,,,Florida,Clay County School District,2023-2024,smack
The Hit,"Burgess, Melvin",,,,Florida,Clay County School District,2023-2024,the hit
Once and Future,"Capetta, A. R.","McCarthy, Cori",,,Florida,Clay County School District,2023-2024,once and future
"Me, Him, Them and It","Carter, Caela",,,,Florida,Clay County School District,2023-2024,"me, him, them and it"
I Stop Somewhere,"Carter, TE",,,,Florida,Clay County School District,2023-2024,i stop somewhere
Bitterblue,"Cashore, Kristin",,"Schoenherr, Ian",,Florida,Clay County School District,2023-2024,bitterblue
"Jane, Unlimited","Cashore, Kristin",,,,Florida,Clay County School District,2023-2024,"jane, unlimited"
Winterkeep,"Cashore, Kristin",,,,Florida,Clay County School District,2023-2024,winterkeep
Revealed (PCC),"Cast, P. C.","Cast, Kristin",,,Florida,Clay County School District,2023-2024,revealed
The School for Good and Evil,"Chainani, Soman",,"Bruno, Iacopo",,Florida,Clay County School District,2023-2024,the school for good and evil
Imaginary Friend,"Chbosky, Stephen",,,,Florida,Clay County School District,2023-2024,imaginary friend
Girl With a Pearl Earring,"Chevalier, Tracy",,,,Florida,Clay County School District,2023-2024,girl with a pearl earring
Mixed: A Colorful Story,"Chung, Arree",,,,Florida,Clay County School District,2023-2024,mixed: a colorful story
The Belles,"Clayton, Dhonielle",,,,Florida,Clay County School District,2023-2024,the belles
Ghost World,"Clowes, Daniel",,,,Florida,Clay County School District,2023-2024,ghost world
Naomi and Ely's No Kiss List,"Cohn, Rachel","Levithan, David",,,Florida,Clay County School District,2023-2024,naomi and ely's no kiss list
Nick and Norah's Infinite Playlist,"Cohn, Rachel","Levithan, David",,,Florida,Clay County School District,2023-2024,nick and norah's infinite playlist
The Kingdom of Little Wounds,"Cokal, Susann",,,,Florida,Clay County School District,2023-2024,the kingdom of little wounds
When It Happens,"Colasanti, Susane",,,,Florida,Clay County School District,2023-2024,when it happens
Tyler Johnson was Here,"Coles, Jay",,,,Florida,Clay County School District,2023-2024,tyler johnson was here
Leviathan Wakes,"Corey, James S. A.",,,,Florida,Clay County School District,2023-2024,leviathan wakes
Beyond the Chocolate War,"Cormier, Robert",,,,Florida,Clay County School District,2023-2024,beyond the chocolate war
We All Fall Down,"Cormier, Robert",,,,Florida,Clay County School District,2023-2024,we all fall down
Vigilante,"Cross, Kady",,,,Florida,Clay County School District,2023-2024,vigilante
The Midwife's Apprentice,"Cushman, Karen",,,,Florida,Clay County School District,2023-2024,the midwife's apprentice
Cherry Money Baby,"Cusick, John M.",,,,Florida,Clay County School District,2023-2024,cherry money baby
Revolting Rhymes,"Dahl, Roald",,,,Florida,Clay County School District,2023-2024,revolting rhymes
The Miseducation of Cameron Post,"Danforth, Emily M.",,,,Florida,Clay County School District,2023-2024,the miseducation of cameron post
Debating Darcy,"Dasgupta, Sayantani",,,,Florida,Clay County School District,2023-2024,debating darcy
Five Feet Apart,"Daughtry, Mikki",,,,Florida,Clay County School District,2023-2024,five feet apart
"Stronger, Faster, and More Beautiful","Dayton, Arwen Elys",,,,Florida,Clay County School District,2023-2024,"stronger, faster, and more beautiful"
Mexican Whiteboy,"de la Peña, Matt",,,,Florida,Clay County School District,2023-2024,mexican whiteboy
Milo Imagines the World,"de la Peña, Matt",,"Robinson, Christian",,Florida,Clay County School District,2023-2024,milo imagines the world
Star-Crossed,"Dee, Barbara",,,,Florida,Clay County School District,2023-2024,star-crossed
Violets are Blue (BD),"Dee, Barbara",,,,Florida,Clay County School District,2023-2024,violets are blue
Legendborn,"Deonn, Tracy",,,,Florida,Clay County School District,2023-2024,legendborn
Someone Like You,"Dessen, Sarah",,,,Florida,Clay County School District,2023-2024,someone like you
Empire of Wild,"Dimaline, Cherie",,,,Florida,Clay County School District,2023-2024,empire of wild
The Marrow Thieves,"Dimaline, Cherie",,,,Florida,Clay County School District,2023-2024,the marrow thieves
Lies You Never Told Me,"Donaldson, Jennifer",,,,Florida,Clay County School District,2023-2024,lies you never told me
A Yellow Raft in Blue Water,"Dorris, Michael",,,,Florida,Clay County School District,2023-2024,a yellow raft in blue water
The Taking of Jake Livingston,"Douglass, Ryan",,,,Florida,Clay County School District,2023-2024,the taking of jake livingston
The Last True Poets of the Sea,"Drake, Julia",,,,Florida,Clay County School District,2023-2024,the last true poets of the sea
A Perfect Blank,"Duran, Rye",,,,Florida,Clay County School District,2023-2024,a perfect blank
Who Was Elvis Presley?,"Edgers, Geoff",,,,Florida,Clay County School District,2023-2024,who was elvis presley?
Chain Reaction,"Elkeles, Simone",,,,Florida,Clay County School District,2023-2024,chain reaction
Perfect Chemistry,"Elkeles, Simone",,,,Florida,Clay County School District,2023-2024,perfect chemistry
I Am a Taxi,"Ellis, Deborah",,,,Florida,Clay County School District,2023-2024,i am a taxi
Recess Warriors: Hero Is A Four-Letter Word,"Emerson, Marcus",,,,Florida,Clay County School District,2023-2024,recess warriors: hero is a four-letter word
Bitter,"Emezi, Akwaeke",,,,Florida,Clay County School District,2023-2024,bitter
You're in the Wrong Bathroom!: And 20 Other Myths and Misconceptions About Transgender and Gender-Nonconforming People,"Erickson-Schroth, Laura","Jacobs, Laura A.",,,Florida,Clay County School District,2023-2024,you're in the wrong bathroom!: and 20 other myths and misconceptions about transgender and gender-nonconforming people
Dancing at the Pity Party: A Dead Mom Graphic Memoir,"Feder, Tyler",,,,Florida,Clay County School District,2023-2024,dancing at the pity party: a dead mom graphic memoir
Better Nate Than Ever,"Federle, Tim",,,,Florida,Clay County School District,2023-2024,better nate than ever
"Five, Six, Seven, Nate","Federle, Tim",,,,Florida,Clay County School District,2023-2024,"five, six, seven, nate"
Wild Tongues Can't Be Tamed: 15 Voices from the Latinx Diaspora,"Fennell, Saraciea J.","Oshiro, Mark; Coster, Haima; Diaz, Natasha; Medina, Meg; Randall, Julian; Fennell, Saraciea J.; Zoboi, Ibi; Aneola, Cristina; Haywood, Kahlil; Jamal, Zakiya H.; Rivera, Lilliam; Mendez, Jasminne; Contreras, Ingrid Rojas; Martinez, Janel; Acevedo, Elizabeth",,,Florida,Clay County School District,2023-2024,wild tongues can't be tamed: 15 voices from the latinx diaspora
Manu,"Fernández, Kelly",,,,Florida,Clay County School District,2023-2024,manu
Starfish (LF),"Fipps, Lisa",,,,Florida,Clay County School District,2023-2024,starfish
Lulu is a Rhinoceros,"Flom, Jason","Flom, Allison","Corrigan, Sophie",,Florida,Clay County School District,2023-2024,lulu is a rhinoceros
I Will Dance,"Flood, Nancy Bo",,"Swaney, Julianna",,Florida,Clay County School District,2023-2024,i will dance
Dark Places,"Flynn, Gillian",,,,Florida,Clay County School District,2023-2024,dark places
The Accidental Apprentice,"Foody, Amanda",,,,Florida,Clay County School District,2023-2024,the accidental apprentice
Just One Day,"Forman, Gayle",,,,Florida,Clay County School District,2023-2024,just one day
Just One Year,"Forman, Gayle",,,,Florida,Clay County School District,2023-2024,just one year
The Slave Dancer,"Fox, Paula",,"Keith, Eros",,Florida,Clay County School District,2023-2024,the slave dancer
"Alas, Babylon","Frank, Pat",,,,Florida,Clay County School District,2023-2024,"alas, babylon"
Lush,"Friend, Natasha",,,,Florida,Clay County School District,2023-2024,lush
Beautiful Creatures,"Garcia, Kami","Stohl, Margaret",,,Florida,Clay County School District,2023-2024,beautiful creatures
Full Disclosure,"Garrett, Camryn",,,,Florida,Clay County School District,2023-2024,full disclosure
Julie of the Wolves,"George, Jean Craighead",,"Schoenherr, John",,Florida,Clay County School District,2023-2024,julie of the wolves
Spy School Secret Service,"Gibbs, Stuart",,,,Florida,Clay County School District,2023-2024,spy school secret service
Girl Mans Up,"Girard, M-E",,,,Florida,Clay County School District,2023-2024,girl mans up
After the Game,"Glines, Abbi",,,,Florida,Clay County School District,2023-2024,after the game
Losing the Field,"Glines, Abbi",,,,Florida,Clay County School District,2023-2024,losing the field
Under the Lights,"Glines, Abbi",,,,Florida,Clay County School District,2023-2024,under the lights
Until Friday Night,"Glines, Abbi",,,,Florida,Clay County School District,2023-2024,until friday night
Excuse Me While I Ugly Cry,"Goffney, Joya",,,,Florida,Clay County School District,2023-2024,excuse me while i ugly cry
Only Mostly Devastated,"Gonzales, Sophie",,,,Florida,Clay County School District,2023-2024,only mostly devastated
Wizard's First Rule,"Goodkind, Terry",,,,Florida,Clay County School District,2023-2024,wizard's first rule
Paper Towns,"Green, John",,,,Florida,Clay County School District,2023-2024,paper towns
Turtles All the Way Down,"Green, John",,,,Florida,Clay County School District,2023-2024,turtles all the way down
The Deepest Breath,"Grehan, Meg",,,,Florida,Clay County School District,2023-2024,the deepest breath
The Magician King,"Grossman, Lev",,,,Florida,Clay County School District,2023-2024,the magician king
The Magicians,"Grossman, Lev",,,,Florida,Clay County School District,2023-2024,the magicians
Enna Burning,"Hale, Shannon",,,,Florida,Clay County School District,2023-2024,enna burning
Friends Forever,"Hale, Shannon",,"Pham, LeUyen",,Florida,Clay County School District,2023-2024,friends forever
Guilty Pleasures,"Hamilton, Laurell K.",,,,Florida,Clay County School District,2023-2024,guilty pleasures
It's Not Summer Without You,"Han, Jenny",,,,Florida,Clay County School District,2023-2024,it's not summer without you
The Summer I Turned Pretty,"Han, Jenny",,,,Florida,Clay County School District,2023-2024,the summer i turned pretty
To All the Boys I've Loved Before,"Han, Jenny",,,,Florida,Clay County School District,2023-2024,to all the boys i've loved before
The Nightingale,"Hannah, Kristin",,,,Florida,Clay County School District,2023-2024,the nightingale
For the Love: Fighting for Grace in a World of Impossible Standards,"Hatmaker, Jen",,,,Florida,Clay County School District,2023-2024,for the love: fighting for grace in a world of impossible standards
Olive's Ocean,"Henkes, Kevin",,,,Florida,Clay County School District,2023-2024,olive's ocean
We Contain Multitudes,"Henstra, Sarah",,,,Florida,Clay County School District,2023-2024,we contain multitudes
The Last Cuentista,"Higuera, Donna Barba",,,,Florida,Clay County School District,2023-2024,the last cuentista
A Thousand Splendid Suns,"Hosseini, Khaled",,,,Florida,Clay County School District,2023-2024,a thousand splendid suns
The Misfits,"Howe, James",,,,Florida,Clay County School District,2023-2024,the misfits
Born at Midnight,"Hunter, C. C.",,,,Florida,Clay County School District,2023-2024,born at midnight
Brave Face: A Memoir,"Hutchinson, Shaun David",,,,Florida,Clay County School District,2023-2024,brave face: a memoir
Howl,"Hutchinson, Shaun David",,,,Florida,Clay County School District,2023-2024,howl
The Past and Other Things That Should Stay Buried,"Hutchinson, Shaun David",,,,Florida,Clay County School District,2023-2024,the past and other things that should stay buried
"At Last, Jedi: A Christina Starspeeder Story","Ignatow, Amy","Krosoczka, Jarrett J.","Krosoczka, Jarrett J.",,Florida,Clay County School District,2023-2024,"at last, jedi: a christina starspeeder story"
Love and Other Fiascos with Lydia Goldblatt and Julie Graham-Chang,"Ignatow, Amy",,,,Florida,Clay County School District,2023-2024,love and other fiascos with lydia goldblatt and julie graham-chang
Research for the Social Improvement and General Betterment of Lydia Goldblatt and Julie Graham-Chang,"Ignatow, Amy",,,,Florida,Clay County School District,2023-2024,research for the social improvement and general betterment of lydia goldblatt and julie graham-chang
The Awesomely Awful Melodies of Lydia Goldblatt and Julie Graham-Chang,"Ignatow, Amy",,,,Florida,Clay County School District,2023-2024,the awesomely awful melodies of lydia goldblatt and julie graham-chang
The Less-Than-Hidden Secrets and Final Revelations of Lydia Goldblatt and Julie Graham-Chang,"Ignatow, Amy",,,,Florida,Clay County School District,2023-2024,the less-than-hidden secrets and final revelations of lydia goldblatt and julie graham-chang
The Long-Distance Dispatch Between Lydia Goldblatt and Julie Graham-Chang,"Ignatow, Amy",,,,Florida,Clay County School District,2023-2024,the long-distance dispatch between lydia goldblatt and julie graham-chang
The Rocky Road Trip of Lydia Goldblatt and Julie Graham-Chang,"Ignatow, Amy",,,,Florida,Clay County School District,2023-2024,the rocky road trip of lydia goldblatt and julie graham-chang
Words of (Questionable) Wisdom from Lydia Goldblatt and Julie Graham-Chang,"Ignatow, Amy",,,,Florida,Clay County School District,2023-2024,words of wisdom from lydia goldblatt and julie graham-chang
The Librarian of Auschwitz,"Iturbe, Antonio",,"Thwaites, Lilit",,Florida,Clay County School District,2023-2024,the librarian of auschwitz
A Good Girl's Guide to Murder,"Jackson, Holly",,,,Florida,Clay County School District,2023-2024,a good girl's guide to murder
